Resource Name,Link,Area,Module,Tags,Type,Difficulty,Prerequisite module(s),Tag Prerequisites
Intro to Programming,https://learn.example.com/programming-intro,Computer Science,Programming Foundations,Computer Science>Programming Foundations>Syntax,Course,Beginner,,,
Functional Patterns in JS,https://learn.example.com/functional-js,Computer Science,Programming Foundations,Computer Science>Programming Foundations>Functional,Workshop,Intermediate,Programming Foundations,Computer Science>Programming Foundations
Discrete Math Essentials,https://learn.example.com/discrete-math,Mathematics,Discrete Mathematics,Mathematics>Discrete Mathematics>Logic,Course,Intermediate,Programming Foundations,Computer Science>Programming Foundations
Algorithm Design Manual,https://learn.example.com/algorithm-design,Computer Science,Algorithms & Data Structures,Computer Science>Algorithms>Graph Algorithms|Computer Science>Algorithms>Divide and Conquer,Book,Advanced,Programming Foundations|Discrete Mathematics,Mathematics>Discrete Mathematics|Computer Science>Programming Foundations
Linear Algebra Refresher,https://learn.example.com/linear-algebra,Mathematics,Linear Algebra Refresher,Mathematics>Linear Algebra>Matrices,Course,Beginner,,,
Probabilistic Graphical Models,https://learn.example.com/pgm,Machine Learning,Probabilistic Models,Machine Learning>Probabilistic Models>Graphical Models,Course,Advanced,Algorithms & Data Structures|Linear Algebra Refresher,Mathematics>Linear Algebra|Computer Science>Algorithms
Variational Inference Workshop,https://learn.example.com/variational-inference,Machine Learning,Probabilistic Models,Machine Learning>Probabilistic Models>Inference|Machine Learning>Probabilistic Models>Variational Methods,Workshop,Advanced,Linear Algebra Refresher|Discrete Mathematics,Mathematics>Linear Algebra|Mathematics>Discrete Mathematics
Quantum Circuits 101,https://learn.example.com/quantum-circuits,Quantum Computing,Quantum Circuits,Quantum Computing>Quantum Circuits>Single Qubit Operations|Quantum Computing>Quantum Circuits>Measurement,Course,Intermediate,Linear Algebra Refresher,Mathematics>Linear Algebra
Stabilizer Codes Tutorial,https://learn.example.com/stabilizer-codes,Quantum Computing,Quantum Error Correction,Quantum Computing>Quantum Error Correction>Stabilizer Codes|Quantum Computing>Quantum Error Correction>Topological,Article,Advanced,Quantum Circuits|Linear Algebra Refresher,Quantum Computing>Quantum Circuits|Mathematics>Linear Algebra
Hybrid QML Pipeline,https://learn.example.com/hybrid-qml,Interdisciplinary,Quantum Machine Learning,Interdisciplinary>Quantum Machine Learning>Hybrid Models|Interdisciplinary>Quantum Machine Learning>Optimization,CaseStudy,Advanced,Quantum Circuits|Probabilistic Models,Quantum Computing>Quantum Circuits|Machine Learning>Probabilistic Models
Cloud Infrastructure Basics,https://learn.example.com/cloud-basics,DevOps,Cloud Infrastructure,DevOps>Cloud Infrastructure>Foundations,Course,Beginner,Programming Foundations,Computer Science>Programming Foundations
Serverless Quantum API,https://learn.example.com/serverless-quantum,Interdisciplinary,Quantum Deployment,Interdisciplinary>Quantum Deployment>APIs|Interdisciplinary>Quantum Deployment>Serverless,Article,Intermediate,Cloud Infrastructure|Quantum Circuits,DevOps>Cloud Infrastructure|Quantum Computing>Quantum Circuits
